igbo,english
Onye ọrụ ugbo gara n'ubi.,The farmer went to the farm.
Ha kụrụ ọka.,They planted maize.
Mmiri ozuzo dara nke ọma.,It rained well.
A na-akụ ji n'oge opupu ihe ubi.,Yam is planted during the planting season.
Ehi ahụ na-ata ahịhịa.,The cow is grazing.
Ha na-akọ ala.,They are cultivating the land.
Nri anụmanụ dị mkpa.,Animal feed is important.
A na-azụ ọkụkọ n'ebe a.,Chickens are raised here.
Akwụkwọ nri toro nke ọma.,The vegetables grew well.
Ha chịkọtara mkpụrụ osisi.,They harvested fruits.
A na-eji fatịlaịza eme ka ala dị mma.,Fertilizer improves the soil.
Ubi ahụ buru ibu.,The farm is large.
Ana m akụ ose.,I am planting pepper.
Ha na-azụ ewu.,They are raising goats.
Osikapa dị njikere maka owuwe ihe ubi.,The rice is ready for harvest.
Onye ugbo gara ugbo taa,The farmer went to the farm today
Anyi kụrụ ọka n'ubi,We planted maize on the farm
Ji toro nke ọma,Yam grew well
Mmiri ozuzo nyere aka n'ugbo,Rainfall helped the farm
A na-eji fatịlaịza eme ka ihe too nke ọma,Fertilizer helps crops grow well
Anyi ga-akọ ugbo n'afọ a,We will farm this year
Ubi ahụ buru ibu,The farm is large
A kụrụ osikapa n'ubi,Rice was planted on the farm
A ga-akpọkọta ihe ubi n'izu ọzọ,The harvest will be gathered next week
Onye ugbo nwere ọtụtụ ihe ubi,The farmer has many crops
Ọrụ Ugbo,Farming
Onye Ugbo,Farmer
Ubi,Farm
Ala,Land
Ịkụ Ihe,Planting
Owuwe Ihe,Uharvest
Fatịlaịza,Fertilizer
Mmiri,Irrigation Water
Ngwaọrụ Ugbo,Farm Tools
Traktọ,Tractor
Mkpụrụ Osisi,Seed
Nri Osisi,Plant Nutrients
Mmepe Ugbo,Agricultural Development
Ọrụ Ubi,Cultivation
Nlekọta Osisi,Crop Management
Ahịhịa,Weed
Ịkpụ Ahịhịa,Weeding
Ọrụ Ugbo Ọgbara Ọhụrụ,Modern Farming
Ngwaọrụ Ịkụ Ihe,Planting Equipment
Nsonaazụ Ugbo,Farm Yield
Ọrụ ugbo,Farming
Ugbo,Farm
Onye ugbo,Farmer
Ọka,Maize
Ji,Yam
Akpụ,Cassava
Osikapa,Rice
Akwukwo nri,Vegetable
Mkpụrụ osisi,Fruit
Anyi na-azụ ewu,We rear goats
Anyi nwere ọtụtụ ọkụkọ,We have many chickens
Ehi ahụ dị ike,The cow is healthy
A na-enye anụmanụ nri kwa ụbọchị,Animals are fed daily
Ọkụkọ ahụ tinyere akwa,The chicken laid eggs
Anyi na-elekọta anụmanụ nke ọma,We take good care of animals
Nri anụmanụ dị mkpa,Animal feed is important
Anyi rere ụfọdụ ewu,We sold some goats
Ehi ahụ mụrụ nwa,The cow gave birth
Ugbo anụmanụ bara uru,Livestock farming is profitable
Anyị na-eme emume ọdịnala.,We are celebrating a cultural festival.
Ndị mmadụ yi akwa ọdịnala.,People wore traditional clothes.
A kụrụ egwu ọdịnala.,Traditional music was played.
Ha gbara egwú.,They danced.
Omenala anyị bara uru.,Our culture is valuable.
A na-asụ Igbo n'ebe a.,Igbo is spoken here.
Ha gara ahịa ọdịnala.,They visited the traditional market.
Nna ochie kwuru akụkọ.,The elder told a story.
Ụmụaka mụtara ilu Igbo.,The children learned Igbo proverbs.
Emume ahụ jupụtara n'ọṅụ.,The festival was full of joy.
Amamihe Arụrụ arụ,Artificial Intelligence
Mmụta Igwe,Machine Learning
Mmụta Miri Emi,Deep Learning
Netwọkụ Akwara,Neural Network
Data,Data
Nhazi Data,Data Processing
Nchịkọta Data,Data Collection
Ọmụmatụ,Algorithm
Ọzụzụ Model,Model Training
Nnwale Model,Model Evaluation
Ihe Nlereanya,Model
Nkọwa,Prediction
Ntinye,Input
Nsonaazụ,Output
Akara,Token
Nkewa Okwu,Tokenization
Asụsụ,Language
Ntụgharị Asụsụ,Translation
Nchekwa Data,Dataset
Mkpado Data,Data Labeling
Nchekwa Model,Model Saving
Mmegharị Model,Model Loading
Ọmụmụ,Learning
Nkuzi,Training
Nnyocha,Evaluation
Mgbakọ,Computation
Ọmụmụ Akpaaka,Automatic Learning
Nkwado Data,Data Augmentation
Nlele,Validation
Nnwale,Testing
Ọnụego Mụta,Learning Rate
Ọnụọgụ Batch,Batch Size
Epoch,Epoch
Ọnụahịa Loss,Loss Function
Optimizer,Optimizer
Transformer,Transformer
Self Attention,Self Attention
Encoder,Encoder
Decoder,Decoder
Embedding,Embedding
Vocabulary,Nkọwa Okwu
Corpus,Nchịkọta Okwu
Sentence,Ahịrịokwu
Word,Okwu
Character,Mkpụrụedemede
Translation Model,Nlereanya Ntụgharị Asụsụ
Sequence,Nsochi
Vector,Vector
Dimension,Dimension
Attention,Nlebara Anya
Context,Nkowa
Hidden Layer,Oyi Akụkụ
Feature,Njirimara
Classification,Nkewa
Generation,Mepụta
Inference,Nkọwa Model
Backpropagation,Mgbasa Azụ
Gradient,Nkewa Gradient
Optimization,Nkwalite
Parameter,Parameter
Hyperparameter,Hyperparameter
Vocabulary Size,Nha Vocabulary
Language Pair,Njikọta Asụsụ
Source Language,Asụsụ Isi
Target Language,Asụsụ Ebumnuche
Preprocessing,Nhazi Mbụ
Normalization,Nhazi Nkịtị
Cleaning,Nhicha
Sentence Pair,Di Ahịrịokwu
Parallel Corpus,Parallel Corpus
Monolingual Corpus,Monolingual Corpus
Iterative Training,Ọzụzụ Ugboro Ugboro
Checkpoint,Ebe Nchekwa
GPU,GPU
CPU,CPU
Memory,Nchekwa
Accuracy,Izi Ezi
BLEU Score,BLEU Score
Evaluation Metric,Ntụle
Prediction Output,Nsonaazụ Amụma
Text Generation,Mepụta Okwu
Natural Language Processing,Nhazi Asụsụ Nkịtị
Sequence Model,Sequence Model
Context Vector,Context Vector
Token ID,Token ID
Vocabulary Mapping,Mapping Vocabulary
Embedding Layer,Embedding Layer
Decoder Output,Nsonaazụ Decoder
Encoder State,Ọnọdụ Encoder
Fine Tuning,Nkwalite Model
Transfer Learning,Transfer Learning
Translation Quality,Ogo Ntụgharị Asụsụ
Language Model,Language Model
Corpus Statistics,Corpus Statistics
Neural Translation,Ntụgharị Neural
Artificial Intelligence System,Sistemụ AI
Nwa akwụkwọ nọ n'ụlọ akwụkwọ.,The student is in school.
Onye nkụzi na-akụzi mgbakọ.,The teacher is teaching mathematics.
Ha na-agụ akwụkwọ n'ọbá akwụkwọ.,They are reading books in the library.
Akwụkwọ a dị ọhụrụ.,This book is new.
Ụmụ akwụkwọ na-ede ule.,Students are writing an examination.
Onye isi ụlọ akwụkwọ bịara.,The principal arrived.
Anyị mụtara sayensị taa.,We learned science today.
Klas ahụ dị jụụ.,The classroom is quiet.
Nwaanyị ahụ gụrụ akụkọ.,The girl read a story.
Ha gara ụlọ nyocha.,They went to the laboratory.
Onye nkụzi jụrụ ajụjụ.,The teacher asked a question.
Ụmụaka na-amụta Bekee.,Children are learning English.
Ana m ede ihe n'akwụkwọ m.,I am writing in my notebook.
Ha nụrụ ihe onye nkụzi kwuru.,They heard what the teacher said.
Ọ gụsịrị akwụkwọ nke ọma.,He graduated successfully.
Anyị gara ọmụmụ ihe.,We attended a lesson.
Nwa akwụkwọ ahụ meriri asọmpi.,The student won the competition.
Ha mụtara akụkọ ihe mere eme.,They studied history.
Akwụkwọ ndị a bara uru.,These books are useful.
Ụlọ akwụkwọ meghere n'ụtụtụ.,The school opened in the morning.
Aga m ede ule echi,I will write an examination tomorrow
Nsonaazu ule aputala,The examination result has been released
Anom na akwadebe maka ule,I am preparing for an examination
Ule a siri ike,This examination is difficult
Aga m agu akwukwo abalị a,I will study tonight
Anyi nwere ule mgbako taa,We had a mathematics examination today
Enwetaram akara oma,I obtained a good score
Akara m ka mma ugbu a,My grades are better now
Anyi natara nsonaazu anyi,We received our results
Aga m eme nke oma n'ule,I will perform well in the examination
Onye nkuzi nyochara akwukwo ule anyi,The teacher marked our examination scripts
Anyi mechara ule anyi,We completed our examination
Aga m ede ule ikpeazu,I will write the final examination
Ule semester ga amalite n'izu na-abia,Semester examinations will begin next week
Akwukwo ule di njikere,The examination papers are ready
Aga m akwadebe nke oma maka ule,I will prepare properly for the examination
Anyi malitere ule n'oge,We started the examination on time
Onye nlekota ule nyochara akwukwo anyi,The invigilator checked our papers
Nwa akwukwo ahu gafere ule,The student passed the examination
O dara ule ahu,He failed the examination
Akara m di elu,My score is high
Akara m di ala,My score is low
Ajụjụ nile sitere n'akwukwo,All questions came from the textbook
Anyi nwetara nsonaazu n'izu a,We received results this week
Nkwadebe na-eweta ezigbo nsonaazu,Preparation leads to good results
Nnwale,Examination
Nnyocha,Test
Ajụjụ,Question
Azịza,Answer
Mpempe Ajụjụ,Question Paper
Nsonaazụ,Result
Akara,Score
Pasent,Percentage
Nnyocha N'etiti Semester,Mid Semester Test
Nnwale Ikpeazụ,Final Examination
Nnyocha Ọnụ,Oral Test
Nnyocha Ederede,Written Test
Nlekọta Nnwale,Examination Supervision
Onye Nlekọta Nnwale,Invigilator
Ndebanye Nnwale,Examination Registration
Ụbọchị Nnwale,Examination Date
Ụlọ Nnwale,Examination Hall
Mmejọ Nnwale,Examination Malpractice
Nsonaazụ Ọma,Good Result
Nsonaazụ Ọjọọ,Poor Result
Ịga Nke Ọma,Pass
Ịda Nnwale,Fail
Ntụle Akara,Grading
A+,A Plus
B+,B Plus
C,Credit
D,Pass Grade
F,Fail Grade
Nyocha Nsonaazụ,Result Analysis
Asambodo Nsonaazụ,Statement of Result
Anom na klas online,I am attending an online class
Ebudaram ihe omumu ahu,I downloaded the course material
Aga m elele vidio nkuzi,I will watch the lecture video
Anyi jiri Zoom mee klas,We used Zoom for the class
Onye nkuzi zipuru ihe omumu,The teacher sent the learning material
Aga m ebugo assignment m,I will upload my assignment
Anyi nwere ule online,We have an online test
M natara ozi email sitere n'aka onye nkuzi,I received an email from the lecturer
Ikpo okwu mmuta a bara uru,This learning platform is useful
Anyi sonyeere webinar taa,We attended a webinar today
Aga m abanye na portal ulo akwukwo,I will log into the school portal
Aga m ebudata akwukwo dijital,I will download the digital textbook
Enwere nsogbu internet,There is an internet problem
Anyi kparita uka na forum mmuta,We discussed in the learning forum
Nkuzi a di na sistemu online,This lesson is available online
Anyi jiri Google Classroom muta ihe,We used Google Classroom to learn
Nkuzi a di na portal,This lesson is on the portal
Aga m ebudata akwukwo PDF,I will download the PDF document
Vidiyo a bara uru nke ukwuu,This video is very useful
Anyi jiri email nata ozi,We received information through email
Onye nkuzi bulitere ihe omumu,The instructor uploaded learning materials
Anyi gara webinar taa,We attended a webinar today
Aga m lelee vidiyo ahu ozo,I will watch the video again
Anyi mere quiz online,We completed an online quiz
Portal ulo akwukwo na aru oru nke oma,The school portal is functioning properly
Mmụta N'Ịntanet,Online Learning
Nkuzi N'Ịntanet,Online Teaching
Ụlọ Akwụkwọ Dijitalụ,Digital Classroom
Nkuzi N'ebe Dị Iche,Ict Based Learning
Mmụta Site Na Ekwentị,Mobile Learning
Mmụta Site Na Kọmputa,Computer Based Learning
Nyocha N'Ịntanet,Online Assessment
Nnwale N'Ịntanet,Online Examination
Ọbá Akwụkwọ Dijitalụ,Digital Library
Ndekọ Mmụta,Learning Record
Ọmụmụ N'onwe Onye,Self Learning
Nkuzi Vidiyo,Video Lecture
Nkuzi Ọnụ,Audio Lecture
Nkuzi Dị Ndụ,Live Class
Nnyefe Ihe Omụmụ,Course Delivery
Nlekọta Mmụta,Learning Management
Ndebanye Akwụkwọ,Course Registration
Ihe Omụmụ,Course Material
Nkwukọrịta Nkuzi,Educational Communication
Ntụle Mmụta,Learning Evaluation
Aga m arụ ọrụ m n'afọ ikpeazụ,I will work on my final year project
Isiokwu oru ngo m bu ntụgharị asụsụ igwe,My project topic is machine translation
Anyi na-eji ọgụgụ isi arụ ọrụ ntụgharị asụsụ,We use artificial intelligence for translation
Asụsụ Igbo bụ asụsụ nwere obere data,Igbo is a low-resource language
Nchọpụta a na-elekwasị anya na asụsụ Igbo,This research focuses on the Igbo language
Anyi na-ewu usoro ntụgharị asụsụ,We are building a translation system
Usoro a na-eji neural network,This system uses a neural network
Anyi na-anakọta data maka nyocha,We are collecting data for research
Data dị mkpa maka ịzụlite model,Data is important for training a model
Anyi chọrọ ezigbo dataset,We need a quality dataset
A na-eji dataset a zụọ model,This dataset is used to train a model
Anyi ga-enyocha arụmọrụ model,We will evaluate the model performance
BLEU score na-atụ ogo ntụgharị asụsụ,BLEU score measures translation quality
Anyi jiri BLEU score nyochaa model,We used BLEU score to evaluate the model
Nsonaazụ gosiri mmezi dị ukwuu,The results showed significant improvement
Iterative back translation na-enyere aka imezi model,Iterative back translation helps improve the model
Anyi mepụtara data synthetic,We generated synthetic data
Data synthetic na-eme ka dataset buru ibu,Synthetic data increases dataset size
Anyi jikọtara data ọhụrụ na data mbụ,We combined new data with the original data
Model ọhụrụ karịrị nke mbụ arụmọrụ,The new model outperformed the previous one
Natural Language Processing bụ akụkụ AI,Natural Language Processing is a branch of AI
Anyi na-amụ NLP n'ime oru ngo a,We study NLP in this project
Neural Machine Translation na-eji deep learning,Neural Machine Translation uses deep learning
Model ahụ mụtara site na ọtụtụ atụ,The model learned from many examples
Anyi haziri dataset tupu ọzụzụ,We cleaned the dataset before training
A wepụrụ data ugboro ugboro,Duplicate data was removed
Anyi kewara dataset n'ime train na test,We split the dataset into train and test sets
Data validation nyere aka nyochaa model,Validation data helped evaluate the model
Anyi jiri GPU mee ọzụzụ model,We used a GPU to train the model
Ọzụzụ model were ọtụtụ awa,Model training took several hours
Anyi chekwara model ikpeazụ,We saved the final model
Model ahụ nwere ike ịtụgharị Igbo gaa Bekee,The model can translate Igbo to English
Model ahụ nwekwara ike ịtụgharị Bekee gaa Igbo,The model can also translate English to Igbo
Anyi nyochara njehie ntụgharị asụsụ,We analyzed translation errors
Nsonaazụ ikpeazụ dị mma,The final results are good
Anyi ga-emezi model n'ọdịnihu,We will improve the model in the future
Nchọpụta a bara uru nye mmepe asụsụ Igbo,This research is useful for Igbo language development
Teknụzụ asụsụ na-eto ngwa ngwa,Language technology is growing rapidly
Asụsụ mpaghara kwesịrị inweta nkwado teknụzụ,Local languages deserve technological support
Nchọpụta a na-enyere nchekwa asụsụ aka,This research supports language preservation
Orụ Ngo Afọ Ikpeazụ,Final Year Project
Nnyocha,Research
Akwụkwọ Nnyocha,Research Paper
Nkọwa Nsogbu,Problem Statement
Ebumnuche Nnyocha,Research Objective
Ajụjụ Nnyocha,Research Question
Usoro Nnyocha,Research Methodology
Nyocha Akwụkwọ,Literature Review
Nyocha Data,Data Analysis
Mmepe Sistem,System Development
Nnwale Sistem,System Testing
Nsonaazụ,Results
Mkparịta Ụka,Discussion
Mmechi,Conclusion
Aro,Recommendation
Nchịkọta Orụ,Project Summary
Onye Nlekọta,Supervisor
Onye Nnyocha,Researcher
Nchekwa Data,Data Storage
Ntụgharị Asụsụ Igbo Bekee,Igbo English Translation
Self Attention Mechanism,Self Attention Mechanism
Dataset,Dataset
Corpus,Corpus
Machine Translation,Ntụgharị Asụsụ Akpaaka
Artificial Intelligence,Amamihe Arụrụ Arụ
NLP na-enyere kọmputa ịghọta asụsụ,NLP helps computers understand language
Asụsụ mmadụ siri ike nghọta,Human language is difficult to understand
NLP bụ akụkụ AI,NLP is a branch of AI
Anyi na-arụ ọrụ na asụsụ Igbo,We are working with the Igbo language
A na-eji tokenizer kewaa ederede,A tokenizer splits text into tokens
Anyi na-ewepụ mkpụrụokwu na-adịghị mkpa,We remove unnecessary words
Dataset anyị nwere ederede Igbo na Bekee,Our dataset contains Igbo and English text
NLP na-akwado ntụgharị asụsụ,NLP supports language translation
Anyi na-amụ semantics na syntax,We study semantics and syntax
A ga-enyocha ogo ntụgharị asụsụ,Translation quality will be evaluated
Nhazi Asụsụ Nkịtị,Natural Language Processing
Ntụgharị Asụsụ,Machine Translation
Nhazi Okwu,Text Processing
Mgbakọ Okwu,Word Count
Nchịkọta Okwu,Corpus
Nyocha Mmetụta,Sentiment Analysis
Nkọwapụta Okwu,Text Classification
Ịmata Aha,Named Entity Recognition
Nchọpụta Asụsụ,Language Detection
Nkewa Ahịrịokwu,Sentence Segmentation
Nchịkọta Okwu Mgbọrọgwụ,Stemming
Nhazi Lemma,Lemmatization
Ntụgharị Okwu,Word Embedding
Nchekwa Okwu,Vocabulary
Nyocha Ahịrịokwu,Sentence Analysis
Nyocha Okwu,Word Analysis
Nnyocha Nkọwa,Semantic Analysis
Nnyocha Grama,Syntactic Analysis
