id,igbo,english,domain,source,level,contributor,verified,date_added
HLT001,Dọkịta bịara n'ụtụtụ.,The doctor arrived in the morning.,health,manual,basic,groupA,Yes,2026-06-24
HLT002,Nọọsụ nyere ọgwụ.,The nurse administered medicine.,health,manual,basic,groupA,Yes,2026-06-24
HLT003,Ahụ adịghị ya mma.,He is not feeling well.,health,manual,basic,groupA,Yes,2026-06-24
HLT004,Ha gara ụlọ ọgwụ.,They went to the hospital.,health,manual,basic,groupA,Yes,2026-06-24
HLT005,Nwata ahụ nwere ọkụ.,The child has a fever.,health,manual,basic,groupA,Yes,2026-06-24
HLT006,A ga-enyocha ọbara gị.,Your blood will be tested.,health,manual,basic,groupA,Yes,2026-06-24
HLT007,Na-aṅụ mmiri ọtụtụ.,Drink plenty of water.,health,manual,basic,groupA,Yes,2026-06-24
HLT008,Nri ọma na-eme ka ahụ dị ike.,Good food keeps the body healthy.,health,manual,basic,groupA,Yes,2026-06-24
HLT009,A ga-eme gị ọgwụgwọ.,You will receive treatment.,health,manual,basic,groupA,Yes,2026-06-24
HLT010,Onye ọrịa zuru ike.,The patient rested.,health,manual,basic,groupA,Yes,2026-06-24